"ID";"solusi_dan_pertanyaan";"bila_benar";"bila_salah";"mulai";"selesai"
"1";"Apakah ada listrik masuk ?";"2";"3";"Y";"N"
"2";"Apakah muncul boot screen BIOS/OS ?";"4";"26";"Y";"N"
"3";"Sumber listrik AC dalam kondisi baik ?";"5";"6";"Y";"N"
"0";"Maaf Sementara Sistem Belum Dapat Mendiagnosa Masalah Anda.";"0";"0";"N";"Y"
"6";"Permasalahan pada terminal listrik.";"0";"0";"N";"Y"
"26";"Proses Pada Diagnosis Kerusakan VGA.";"0";"0";"N";"Y"
"4";"Komputer Baru dirakit ?";"7";"8";"Y";"N"
"7";"Periksa Kebutuhan Daya, apakah cukup.";"0";"0";"N";"Y"
"5";"Apakah Pengaturan Voltage sudah benar ? Default 110/220 V.";"9";"10";"Y";"N"
"10";"Pilih Pengaturan Voltage yang benar.";"0";"0";"N";"Y"
"8";"Menyala setelah booting kedua?";"11";"12";"Y";"N"
"11";"Masalah Terjadi Pada Power Supply.";"0";"0";"N";"Y"
"9";"Apakah tombol power switch sudah terhubung dengan benar pd motherboard ?";"13";"14";"Y";"N"
"14";"Periksa buku manual motherboard, sambungkan tombol panel depan dengan benar.";"0";"0";"N";"Y"
"12";"Terdengar suara ""BEEP"" ?";"27";"15";"Y";"N"
"27";"Proses pada diagnosis kerusakan motherboard, prosesor dan Ram.";"0";"0";"N";"Y"
"13";"Tombol Power Rusak ?";"16";"17";"Y";"N"
"16";"Ganti tombol power atau gunakan tombol reset.";"0";"0";"N";"Y"
"15";"Apakah ada komponen baru yang terpasang?";"18";"19";"Y";"N"
"18";"Lepas komponen yang baru dipasang, coba lagi.";"0";"0";"N";"Y"
"17";" Konektor daya dari PSU sudah tersambung dengan benar pd motherboard? ";"19";"20";"Y";"N"
"19";"Apakah hardisk dapat berputar? ";"21";"22";"Y";"N"
"21";"Apakah ada kemungkinan VGA, Soundcard adapter dll yang bermasalah?";"23";"24";"Y";"N"
"22";"Coba dengan konektor SATA yg lain, apa dapat berputar?";"25";"26";"Y";"N"
"23";"Lepaskan semua adapter kecuali video card";"0";"0";"N";"Y"
"25";"Kabel konektor SATA atau konektor dari power supply rusak.";"0";"0";"N";"Y"
"26";"Coba hardisk di komputer lain.";"0";"0";"N";"Y"
"24";"Coba lepas semua komponen dan rangkai diluar case, apa bisa menyala ?";"27";"28";"Y";"N"
"27";"Kemungkinan terjadi konsleting pd casing ketika motherboard terpasang .";"0";"0";"N";"Y"
"28";"Ganti Power Supply.";"0";"0";"N";"Y"
